1772260584933,65,ha noi,200,OK,Thread Group 3 - Tùy Chỉnh 3-1,text,true,,200837,136,2,4,https://vnexpress.net/topic/ha-noi-26482,57,0,14
1772260584984,96,ha noi,200,OK,Thread Group 3 - Tùy Chỉnh 3-2,text,true,,200869,136,3,5,https://vnexpress.net/topic/ha-noi-26482,81,0,14
1772260585034,65,ha noi,200,OK,Thread Group 3 - Tùy Chỉnh 3-3,text,true,,200877,136,2,4,https://vnexpress.net/topic/ha-noi-26482,57,0,12
1772260585078,49,ha noi,200,OK,Thread Group 3 - Tùy Chỉnh 3-4,text,true,,200876,136,1,4,https://vnexpress.net/topic/ha-noi-26482,41,0,16
1772260585133,72,ha noi,200,OK,Thread Group 3 - Tùy Chỉnh 3-5,text,true,,200830,136,2,5,https://vnexpress.net/topic/ha-noi-26482,55,0,13
1772260585183,46,ha noi,200,OK,Thread Group 3 - Tùy Chỉnh 3-6,text,true,,200845,136,1,5,https://vnexpress.net/topic/ha-noi-26482,39,0,14
1772260585236,41,ha noi,200,OK,Thread Group 3 - Tùy Chỉnh 3-7,text,true,,200845,136,1,5,https://vnexpress.net/topic/ha-noi-26482,34,0,12
1772260585283,52,ha noi,200,OK,Thread Group 3 - Tùy Chỉnh 3-8,text,true,,200861,136,2,7,https://vnexpress.net/topic/ha-noi-26482,46,0,14
1772260585333,43,ha noi,200,OK,Thread Group 3 - Tùy Chỉnh 3-9,text,true,,200868,136,2,7,https://vnexpress.net/topic/ha-noi-26482,36,0,14
1772260585379,85,ha noi,200,OK,Thread Group 3 - Tùy Chỉnh 3-10,text,true,,200846,136,2,7,https://vnexpress.net/topic/ha-noi-26482,66,0,24
1772260585433,48,ha noi,200,OK,Thread Group 3 - Tùy Chỉnh 3-11,text,true,,200884,136,1,6,https://vnexpress.net/topic/ha-noi-26482,40,0,12
1772260585482,43,ha noi,200,OK,Thread Group 3 - Tùy Chỉnh 3-12,text,true,,200852,136,1,8,https://vnexpress.net/topic/ha-noi-26482,36,0,13
1772260585527,64,ha noi,200,OK,Thread Group 3 - Tùy Chỉnh 3-13,text,true,,200922,136,2,9,https://vnexpress.net/topic/ha-noi-26482,56,0,12
1772260585576,48,ha noi,200,OK,Thread Group 3 - Tùy Chỉnh 3-14,text,true,,200868,136,1,9,https://vnexpress.net/topic/ha-noi-26482,40,0,13
1772260585633,52,ha noi,200,OK,Thread Group 3 - Tùy Chỉnh 3-15,text,true,,200805,136,2,8,https://vnexpress.net/topic/ha-noi-26482,43,0,12
1772260585683,43,ha noi,200,OK,Thread Group 3 - Tùy Chỉnh 3-16,text,true,,200822,136,1,8,https://vnexpress.net/topic/ha-noi-26482,36,0,13
1772260585732,47,ha noi,200,OK,Thread Group 3 - Tùy Chỉnh 3-17,text,true,,200852,136,2,9,https://vnexpress.net/topic/ha-noi-26482,38,0,13
1772260585777,46,ha noi,200,OK,Thread Group 3 - Tùy Chỉnh 3-18,text,true,,200836,136,1,8,https://vnexpress.net/topic/ha-noi-26482,38,0,15
1772260585831,42,ha noi,200,OK,Thread Group 3 - Tùy Chỉnh 3-19,text,true,,200814,136,1,9,https://vnexpress.net/topic/ha-noi-26482,35,0,13
1772260585882,84,ha noi,200,OK,Thread Group 3 - Tùy Chỉnh 3-20,text,true,,200845,136,1,9,https://vnexpress.net/topic/ha-noi-26482,76,0,15
